"Sample_id","Institution_specimen_id","Spp_code","new_id","primary_collector","collector_lastname","collector_firstname","collector_full_string","collector_string","location_string","Country","State","County_fixed","County","Municipality","Locality","hand_georef_lat","hand_georef_lon","year","month","day","tissue_type","seed_scored","seed_eplus","Endo_status_liberal","Endo_status_conservative","Date_scored","scorer_id","score_number","surface_area_cm2","mean_infl_length","mean_inflplusawn_length","infl_count","scorer_factor","collector_factor","county_label","lon","lat","type","loctype","address","north","south","east","west","Herb_code","spp_code","specimen_code","tissue_code"
"BRIT_AGHY_195_a","BRIT486758","AGHY","BRIT486758","B.R & M.H. MacRoberts","MacRoberts","B.R","B.R MacRoberts","B MacRoberts","Nacogdoches County, Texas, United States","United States","Texas","Nacogdoches County","Nacogdoches",NA,"Shallow pond, once open, then overgrown with trees. But now cleared again. Stephen F. Austin Experimental Forest. Angelina National Forest. Pond 2.",NA,NA,2011,5,6,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector86"," County",-94.645035,31.6353071,"administrative_area_level_2","approximate","nacogdoches county, tx, usa",31.8455549,31.2227761,-94.3000379,-94.97816,"BRIT","AGHY",195,"a"
"BRIT_AGHY_198_a","BRIT55270","AGHY","BRIT55270","Monique Reed","Reed","Monique","Monique Reed","M Reed","Red River County, Texas, United States","United States","Texas","Red River County","Red River",NA,"Greenwood. NE of Clarksville, 16475 FM 1159. S. roadside of FM 1159. 33°47.482'N, 94°55.361'W, 388 ft.",33.7914,-94.9227,2011,5,15,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector611"," County",-94.976654,33.6072302,"administrative_area_level_2","approximate","red river county, tx, usa",33.962674,33.3173649,-94.7323289,-95.311035,"BRIT","AGHY",198,"a"
"BRIT_AGHY_199","BRIT55269","AGHY","BRIT55269","Monique Reed","Reed","Monique","Monique Reed","M Reed","Red River County, Texas, United States","United States","Texas","Red River County","Red River",NA,"Greenwood. NE of Clarksville, 16475 FM 1159. S. roadside of FM 1159. 33°47.482'N, 94°55.361'W, 388 ft.",33.7914,-94.9227,2011,5,15,"seed",5,5,1,1,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector611"," County",-94.976654,33.6072302,"administrative_area_level_2","approximate","red river county, tx, usa",33.962674,33.3173649,-94.7323289,-95.311035,"BRIT","AGHY",199,NA
"BRIT_AGHY_72","RaulGutierrez2554TamaraMick","AGHY","RaulGutierrez2554TamaraMick","Raul Gutierrez ","Gutierrez","Raul","Raul Gutierrez","R Gutierrez","Allen Parish, Louisiana, USA","USA","Louisiana","Allen Parish","Allen",NA,"ca. 1 miles NE of Old Pump Road (State Hwy 1147), ca. 0.1 mile N of calcasieu River",NA,NA,2011,4,14,"seed",5,0,0,0,"12/12/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector709"," Parish",-92.8577105,30.5887484,"administrative_area_level_2","approximate","allen parish, la, usa",30.8992821,30.423591,-92.582741,-93.1312241,"BRIT","AGHY",72,NA
"BRIT_ELVI_36","BRIT486537","ELVI","BRIT486537","B. R.","R.","B.","B. R.","B R.","Harrison County, Texas, United States","United States","Texas","Harrison County","Harrison",NA,"Caddo Lake National Wildlife Refuge. Opening in pine woods. 32o38'53.76 N 94o07'53.94 W. Elev. 184 feet. Site 1",NA,-32.648267,2011,24,24,"seed",5,4,1,1,"03/23/2020","EllaSegal",1,NA,NA,NA,NA,"Scorer10","Collector90"," County",-94.315422,32.5539228,"administrative_area_level_2","approximate","harrison county, tx, usa",32.793088,32.3265829,-94.0428171,-94.702201,"BRIT","ELVI",36,NA
"LL_AGHY_134_a","LL00457840","AGHY","00457840","William R. Carr","Carr","William","William Carr","W Carr","Hunt County, Texas, United States","United States","Texas","Hunt County","Hunt",NA,"Just inside gate to Cowleech Prairie Preserve, ca. 25-100 ft. N of Co. Rd. 3128 from a point 1.0-1.1 roadmiles E of its jct. with US Rt. 69 S of Greenville.",33.06783,-96.01003,2011,5,6,"seed",4,2,1,1,"10/01/2019","LaniDufresne",1,NA,NA,NA,NA,"Scorer19","Collector885"," County",-96.1526985,33.1967938,"administrative_area_level_2","approximate","hunt county, tx, usa",33.4095298,32.837217,-95.8586449,-96.297344,"LL","AGHY",134,"a"
"LSU_AGHY_2","LSU00133389","AGHY","LSU00133389","Raul Gutierrez","Gutierrez","Raul","Raul Gutierrez","R Gutierrez","Allen Parish, Louisiana, United States","United States","Louisiana","Allen Parish","Allen",NA,"Ca. 1 mi NE of Old Pump Rd (State Hwy 1147), ca. 0.1 mi N of Calcasieu River.",NA,NA,2011,4,14,"seed",10,4,1,1,"2/17/2022","EmmaScales",1,NA,NA,NA,NA,"Scorer12","Collector709"," Parish",-92.8577105,30.5887484,"administrative_area_level_2","approximate","allen parish, la, usa",30.8992821,30.423591,-92.582741,-93.1312241,"LSU","AGHY",2,NA
"OKL_ELVI_55","OKL257128;;NWCA2324-5",NA,"OKL257128","B. W. Hoagland","Hoagland","B.","B. Hoagland","B Hoagland","Oklahoma County, Oklahoma, United States","United States","Oklahoma","Oklahoma County","Oklahoma",NA,"Oklahoma City; NE of jct of NW Expressway & Council Rd, Oklahoma City",NA,NA,2011,6,30,"seed",5,3,1,0,"7/21/2022","MalloryTucker",1,NA,NA,NA,NA,"Scorer20","Collector80"," County",-97.3516558,35.6038323,"administrative_area_level_2","approximate","oklahoma county, ok, usa",35.7259801,35.37686,-97.1407609,-97.674058,"OKL","ELVI",55,NA
