"Sample_id","Institution_specimen_id","Spp_code","new_id","primary_collector","collector_lastname","collector_firstname","collector_full_string","collector_string","location_string","Country","State","County_fixed","County","Municipality","Locality","hand_georef_lat","hand_georef_lon","year","month","day","tissue_type","seed_scored","seed_eplus","Endo_status_liberal","Endo_status_conservative","Date_scored","scorer_id","score_number","surface_area_cm2","mean_infl_length","mean_inflplusawn_length","infl_count","scorer_factor","collector_factor","county_label","lon","lat","type","loctype","address","north","south","east","west","Herb_code","spp_code","specimen_code","tissue_code"
"KANU_AGHY_4","KANU00428167","AGHY","KANU00428167","Caleb A Morse","Morse","Caleb","Caleb Morse","C Morse","Chautauqua County, Kansas, United States","United States","Kansas","Chautauqua County","Chautauqua",NA,"Sedan, ca 2 mi N, 6.5 mi W; Red Buffalo Ranch, W part",37.162421,-96.30738,2019,5,27,"seed",5,2,1,1,"7/22/22","EmilyChong",1,NA,NA,NA,NA,"Scorer11","Collector149"," County",-96.2800864,37.1738044,"administrative_area_level_2","approximate","chautauqua county, ks, usa",37.30273,36.998643,-95.964096,-96.525771,"KANU","AGHY",4,NA
"OKL_ELVI_1","OKL275926;20009003;DA-AB-12100","ELVI","OKL275926","Amy Buthod","Buthod","Amy","Amy Buthod","A Buthod","Norman, Cleveland County, Oklahoma, USA","USA","Oklahoma","Cleveland County","Cleveland","Norman","Hall Park neighborhood, SW side of northern lake Degraded grassland",NA,-35.236657,2019,6,18,"seed",5,5,1,1,"6/27/2022","MalloryTucker",1,NA,NA,NA,NA,"Scorer20","Collector11"," County",-97.4394777,35.2225668,"locality","approximate","norman, ok, usa",35.348324,35.1454631,-97.1769179,-97.547411,"OKL","ELVI",1,NA
