"","lon","lat","Sample_id","Spp_code","new_id","Country","State","County","Locality","year","month","day","seed_eplus","scorer_id","infl_count","X","Institution_specimen_id","primary_collector","collector_lastname","collector_firstname","collector_full_string","collector_string","location_string","Municipality","hand_georef_lat","hand_georef_lon","tissue_type","seed_scored","Endo_status_liberal","Endo_status_conservative","Date_scored","score_number","surface_area_cm2","mean_infl_length","mean_inflplusawn_length","scorer_factor","collector_factor","NO3_mean","Institutio","primary_co","collector_","collecto_1","location_s","Municipali","hand_geore","hand_geo_1","tissue_typ","seed_score","Endo_statu","Endo_sta_1","Date_score","score_numb","surface_ar","mean_infl_","mean_inflp","HISTO_0","HISTO_11","HISTO_12","HISTO_21","HISTO_22","HISTO_23","HISTO_24","HISTO_31","HISTO_41","HISTO_42","HISTO_43","HISTO_52","HISTO_71","HISTO_81","HISTO_82","HISTO_90","HISTO_95","species_index","species","decade","DevelopedOpenSpace","DevelopedLowIntensity","MediumDeveloped","HighDeveloped","PastureHay","CultivatedCrops","TotalAg","TotalPixels","TotalDeveloped","OtherLC","PercentUrban","PercentAg","year_bin","endo_status_text"
"11",-100.8534779,43.2327824,"LL_AGHY_185","AGHY","WLTolstead4-377","USA","South Dakota","Todd","7 miles west of Rosebud. In ravine with Agropyron smithii and Elymus canadensis",1935,7,24,NA,"JFWhite",NA,16,"WLTolstead4-377","W. L. Tolstead","Tolstead","W.","W. Tolstead","W Tolstead","Rosebud, Todd, South Dakota, USA","Rosebud",NA,NA,"stem",NA,1,1,NA,1,NA,NA,NA,"Scorer15","Collector918",10.5476493835449,"WLTolstead4-377","W. L. Tolstead","Tolstead","W.","Rosebud, Todd, South Dakota, USA","Rosebud",NA,NA,"stem",NA,1,1,NA,1,NA,NA,NA,0,860,0,6355,7103,1154,76,364,25223,289,64101,2095,623749,6144,37867,10394,7486,"1","A. hyemalis",1930,6355,7103,1154,76,6144,37867,44011,793260,14688,92.6002823790434,1.85159972770592,5.54811789325064,"pre-1970","E+"
"12",-100.8903099,35.8540979,"KANU_ELVI_111","ELVI","KANU00183700","United States","Texas","Roberts","In Miami",1974,8,1,0,"FaithHill",NA,17,"KANU00183700","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Roberts, Texas, United States",NA,35.69139,-100.63778,"seed",4,0,0,"10/20/2023",1,NA,NA,NA,"Scorer13","Collector821",10.1302671432495,"KANU00183700","Steve Stephens","Stephens","Steve","Roberts, Texas, United States",NA,35.69139,-100.63778,"seed",4,0,0,"10/20/2023",1,NA,NA,NA,0,416,0,3728,1727,194,5,203,48,0,0,625344,221683,512,6408,12962,7740,"3","E. virginicus",1970,3728,1727,194,5,512,6408,6920,880970,5654,98.5727096268885,0.641792569554014,0.785497803557442,"post-1970","E-"
"13",-100.8903099,38.0625252,"KANU_ELVI_13","ELVI","KANU0015763","United States","Kansas","Finney","unknown",1912,7,18,4,"MalloryTucker",NA,18,"KANU0015763","Wilson","Wilson","Wilson","Wilson Wilson","W Wilson","Finney, Kansas, United States",NA,38.055118,-100.709526,"seed",5,1,1,"09/28/2022",1,NA,NA,NA,"Scorer20","Collector924",9.3122091293335,"KANU0015763","Wilson","Wilson","Wilson","Finney, Kansas, United States",NA,38.055118,-100.709526,"seed",5,1,1,"09/28/2022",1,NA,NA,NA,0,2909,0,34702,19399,8939,3069,1811,569,0,19,44,114591,24579,643361,107,2110,"3","E. virginicus",1910,34702,19399,8939,3069,24579,643361,667940,856209,66109,14.2675444897216,7.72112883653407,78.0113266737444,"pre-1970","E+"
"14",-101.302104,36.2014217,"KANU_ELVI_107","ELVI","KANU00183781","United States","Texas","Hansford","Gruver, 1 mi SE",1974,8,6,0,"FaithHill",NA,21,"KANU00183781","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Hansford, Texas, United States",NA,36.25474,-101.39311,"seed",2,1,0,"10/20/2023",1,NA,NA,NA,"Scorer13","Collector821",9.42844581604004,"KANU00183781","Steve Stephens","Stephens","Steve","Hansford, Texas, United States",NA,36.25474,-101.39311,"seed",2,1,0,"10/20/2023",1,NA,NA,NA,0,1238,0,13410,8801,1731,260,372,45,0,0,215935,154000,1334,475048,149,4842,"3","E. virginicus",1970,13410,8801,1731,260,1334,475048,476382,877165,24202,42.9316035181522,2.7591160158009,54.3092804660469,"post-1970","E+"
"15",-101.4062723,36.2650314,"OKL_ELVI_99","ELVI","OKL49546","USA","Texas","Hansford","growing along creek bank, very sandy soil",1955,8,14,5,"MalloryTucker",NA,22,"OKL49546;;Cutter208","Wm. Cutter","Cutter","Wm.","Wm. Cutter","W Cutter","Gruver, Hansford, Texas, USA","Gruver",NA,NA,"seed",5,1,1,"09/12/2022",1,NA,NA,NA,"Scorer20","Collector887",9.13796997070312,"OKL49546;;Cutter208","Wm. Cutter","Cutter","Wm.","Gruver, Hansford, Texas, USA","Gruver",NA,NA,"seed",5,1,1,"09/12/2022",1,NA,NA,NA,0,873,0,10817,5817,767,74,278,0,0,0,196405,173927,1428,484194,71,1810,"3","E. virginicus",1950,10817,5817,767,74,1428,484194,485622,876461,17475,42.5990431975867,1.99381375782836,55.407143044585,"pre-1970","E+"
"16",-101.4215236,26.9080378,"LL_AGHY_21_a","AGHY","00142434","Mexico","Coahuila","Monclova","Gloria Mts",1939,4,12,0,"LaniDufresne",NA,23,"LL00142434","Ernest Marsh","Marsh","Ernest","Ernest Marsh","E Marsh","Monclova, Coahuila, Mexico",NA,26.85417,-101.35167,"seed",1,0,0,"10/01/2019",1,NA,NA,NA,"Scorer19","Collector255",NA,"LL00142434","Ernest Marsh","Marsh","Ernest","Monclova, Coahuila, Mexico",NA,26.85417,-101.35167,"seed",1,0,0,"10/01/2019",1,NA,NA,NA,967456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","A. hyemalis",1930,0,0,0,0,0,0,0,967456,0,100,0,0,"pre-1970","E-"
"17",-101.4339148,36.8301318,"KANU_ELVI_113","ELVI","KANU00183732","United States","Oklahoma","Texas","Hardesty, 9.5 mi E",1971,9,15,3,"FaithHill",NA,24,"KANU00183732","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Texas, Oklahoma, United States",NA,36.61627,-101.01863,"seed",5,1,1,"10/20/2023",1,NA,NA,NA,"Scorer13","Collector821",8.6019344329834,"KANU00183732","Steve Stephens","Stephens","Steve","Texas, Oklahoma, United States",NA,36.61627,-101.01863,"seed",5,1,1,"10/20/2023",1,NA,NA,NA,0,1991,0,33394,9646,3795,1012,302,0,0,0,156127,246454,1972,414527,40,925,"3","E. virginicus",1970,33394,9646,3795,1012,1972,414527,416499,870185,47847,46.6382435918799,5.49848595413619,47.8632704539839,"post-1970","E+"
"18",-101.6157773,40.1306121,"KANU_ELVI_40","ELVI","KANU00183769","United States","Nebraska","Dundy","Benkelman, 3.5 mi S",1970,9,23,2,"KarlSchrader",NA,25,"KANU00183769","Steve Stephens","Stephens","Steve","Steve Stephens","S Stephens","Dundy, Nebraska, United States",NA,40.003396,-101.532694,"seed",2,1,1,"8/24/2023",1,NA,NA,NA,"Scorer17","Collector821",9.269211769104,"KANU00183769","Steve Stephens","Stephens","Steve","Dundy, Nebraska, United States",NA,40.003396,-101.532694,"seed",2,1,1,"8/24/2023",1,NA,NA,NA,0,1545,0,15327,3779,1173,137,326,188,2,44,77,489499,14220,296183,3247,6109,"3","E. virginicus",1970,15327,3779,1173,137,14220,296183,310403,831856,20416,60.2312179030986,2.45427093150738,37.314511165394,"post-1970","E+"
"19",-101.7240454,33.3170352,"AM_AGHY_49","AGHY","TAES246989","United States","Texas","Wilson","County Roads intersection 434 and 429 1 mi E of Hwy 123",2007,10,28,0,"LaniDufresne",NA,26,"TAES246989","Stuart Davis","Davis","Stuart","Stuart Davis","S Davis","Wilson, Texas, United States",NA,NA,NA,"seed",6,0,0,"12/12/2019",1,NA,NA,NA,"Scorer19","Collector791",8.69206237792969,"TAES246989","Stuart Davis","Davis","Stuart","Wilson, Texas, United States",NA,NA,NA,"seed",6,0,0,"12/12/2019",1,NA,NA,NA,0,2850,0,34247,6543,1746,433,912,116,9,0,10919,84714,1722,755903,115,7553,"1","A. hyemalis",2000,34247,6543,1746,433,1722,755903,757625,907782,42969,11.8076806986699,4.73340515674468,83.4589141445854,"post-1970","E-"
"20",-101.7506777,37.5703377,"KANU_AGHY_108","AGHY","KANU0011106","United States","Kansas","Johnson","US56 2.0mi S",1967,6,9,0,"NicoleImming",NA,28,"KANU0011106","K.L. Johnson","Johnson","K.L.","K.L. Johnson","K Johnson","Johnson, Kansas, United States",NA,38.84419,-94.84072,"seed",5,0,0,"10/28/2022",1,NA,NA,NA,"Scorer21","Collector509",8.5064172744751,"KANU0011106","K.L. Johnson","Johnson","K.L.","Johnson, Kansas, United States",NA,38.84419,-94.84072,"seed",5,0,0,"10/28/2022",1,NA,NA,NA,0,202,0,25923,2663,625,125,46,631,0,45,9106,77928,73806,669375,913,450,"1","A. hyemalis",1960,25923,2663,625,125,73806,669375,743181,861838,29336,10.3640127262896,3.40388796966483,86.2320993040455,"pre-1970","E-"
